assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,hazus
189,37.5814599,-122.3897966,360,1384.89,RM2M-m-COM2-DF,6081605000,COM,COM2,RM2M,MC,RM2M-MC-COM2
190,37.5814599,-122.3897966,360,661.44,S4L-m-COM2-DF,6081605000,COM,COM2,S4L,MC,S4L-MC-COM2
191,37.5814599,-122.3897966,360,744.12,W1-m-COM2-DF,6081605000,COM,COM2,W1,MC,W1-MC-COM2
192,37.5814599,-122.3897966,360,6866.25,C2L-m-COM3-DF,6081605000,COM,COM3,C2L,MC,C2L-MC-COM3
193,37.5814599,-122.3897966,360,6866.25,C2M-m-COM3-DF,6081605000,COM,COM3,C2M,MC,C2M-MC-COM3
194,37.5814599,-122.3897966,360,11581.08,RM1L-m-COM3-DF,6081605000,COM,COM3,RM1L,MC,RM1L-MC-COM3
195,37.5814599,-122.3897966,360,11329.31,RM2L-m-COM3-DF,6081605000,COM,COM3,RM2L,MC,RM2L-MC-COM3
196,37.5814599,-122.3897966,360,2265.862,RM2M-m-COM3-DF,6081605000,COM,COM3,RM2M,MC,RM2M-MC-COM3
197,37.5814599,-122.3897966,360,2288.75,S1L-m-COM3-DF,6081605000,COM,COM3,S1L,MC,S1L-MC-COM3
198,37.5814599,-122.3897966,360,2288.75,S1M-m-COM3-DF,6081605000,COM,COM3,S1M,MC,S1M-MC-COM3
199,37.5814599,-122.3897966,360,2288.75,W1-m-COM3-DF,6081605000,COM,COM3,W1,MC,W1-MC-COM3
200,37.5814599,-122.3897966,360,1826.942,C1M-m-COM4-DF,6081605000,COM,COM4,C1M,MC,C1M-MC-COM4
201,37.5814599,-122.3897966,360,913.4712,C2L-h-COM4-DF,6081605000,COM,COM4,C2L,HC,C2L-HC-COM4
202,37.5814599,-122.3897966,360,5176.337,C2L-m-COM4-DF,6081605000,COM,COM4,C2L,MC,C2L-MC-COM4
203,37.5814599,-122.3897966,360,913.4712,C2L-h-COM4-DF,6081605000,COM,COM4,C2L,VC,C2L-VC-COM4
204,37.5814599,-122.3897966,360,2740.413,C2M-m-COM4-DF,6081605000,COM,COM4,C2M,MC,C2M-MC-COM4
205,37.5814599,-122.3897966,360,3653.885,PC1-m-COM4-DF,6081605000,COM,COM4,PC1,MC,PC1-MC-COM4
206,37.5814599,-122.3897966,360,2686.68,RM1L-m-COM4-DF,6081605000,COM,COM4,RM1L,MC,RM1L-MC-COM4
207,37.5814599,-122.3897966,360,859.7375,RM1M-m-COM4-DF,6081605000,COM,COM4,RM1M,MC,RM1M-MC-COM4
208,37.5814599,-122.3897966,360,4513.623,RM2L-m-COM4-DF,6081605000,COM,COM4,RM2L,MC,RM2L-MC-COM4
209,37.5814599,-122.3897966,360,895.56,S1M-m-COM4-DF,6081605000,COM,COM4,S1M,MC,S1M-MC-COM4
210,37.5814599,-122.3897966,360,895.56,S3-m-COM4-DF,6081605000,COM,COM4,S3,MC,S3-MC-COM4
