AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,censusTract,occType,occupancy,strType,designLevel,ExpectedLoss
"183",37.581460,-122.389797,360,671.36,"C2L-m-COM2-DF","6081605000","COM","COM2","C2L","MC",NaN
"184",37.581460,-122.389797,360,671.36,"C2L-p-COM2-DF","6081605000","COM","COM2","C2L","PC",NaN
"185",37.581460,-122.389797,360,671.36,"C2M-m-COM2-DF","6081605000","COM","COM2","C2M","MC",NaN
"186",37.581460,-122.389797,360,2109.99,"PC1-m-COM2-DF","6081605000","COM","COM2","PC1","MC",NaN
"187",37.581460,-122.389797,360,671.36,"PC1-h-COM2-DF","6081605000","COM","COM2","PC1","VC",NaN
"188",37.581460,-122.389797,360,682.11,"RM2L-m-COM2-DF","6081605000","COM","COM2","RM2L","MC",NaN
"189",37.581460,-122.389797,360,1384.89,"RM2M-m-COM2-DF","6081605000","COM","COM2","RM2M","MC",NaN
"190",37.581460,-122.389797,360,661.44,"S4L-m-COM2-DF","6081605000","COM","COM2","S4L","MC",NaN
"191",37.581460,-122.389797,360,744.12,"W1-m-COM2-DF","6081605000","COM","COM2","W1","MC",NaN
"192",37.581460,-122.389797,360,6866.25,"C2L-m-COM3-DF","6081605000","COM","COM3","C2L","MC",NaN
"193",37.581460,-122.389797,360,6866.25,"C2M-m-COM3-DF","6081605000","COM","COM3","C2M","MC",NaN
"194",37.581460,-122.389797,360,11581.08,"RM1L-m-COM3-DF","6081605000","COM","COM3","RM1L","MC",NaN
"195",37.581460,-122.389797,360,11329.31,"RM2L-m-COM3-DF","6081605000","COM","COM3","RM2L","MC",NaN
"196",37.581460,-122.389797,360,2265.86,"RM2M-m-COM3-DF","6081605000","COM","COM3","RM2M","MC",NaN
"197",37.581460,-122.389797,360,2288.75,"S1L-m-COM3-DF","6081605000","COM","COM3","S1L","MC",NaN
"198",37.581460,-122.389797,360,2288.75,"S1M-m-COM3-DF","6081605000","COM","COM3","S1M","MC",NaN
"199",37.581460,-122.389797,360,2288.75,"W1-m-COM3-DF","6081605000","COM","COM3","W1","MC",NaN
"200",37.581460,-122.389797,360,1826.94,"C1M-m-COM4-DF","6081605000","COM","COM4","C1M","MC",NaN
"201",37.581460,-122.389797,360,913.47,"C2L-h-COM4-DF","6081605000","COM","COM4","C2L","HC",NaN
"202",37.581460,-122.389797,360,5176.34,"C2L-m-COM4-DF","6081605000","COM","COM4","C2L","MC",NaN
"203",37.581460,-122.389797,360,913.47,"C2L-h-COM4-DF","6081605000","COM","COM4","C2L","VC",NaN
"204",37.581460,-122.389797,360,2740.41,"C2M-m-COM4-DF","6081605000","COM","COM4","C2M","MC",NaN
"205",37.581460,-122.389797,360,3653.89,"PC1-m-COM4-DF","6081605000","COM","COM4","PC1","MC",NaN
"206",37.581460,-122.389797,360,2686.68,"RM1L-m-COM4-DF","6081605000","COM","COM4","RM1L","MC",NaN
"207",37.581460,-122.389797,360,859.74,"RM1M-m-COM4-DF","6081605000","COM","COM4","RM1M","MC",NaN
"208",37.581460,-122.389797,360,4513.62,"RM2L-m-COM4-DF","6081605000","COM","COM4","RM2L","MC",NaN
"209",37.581460,-122.389797,360,895.56,"S1M-m-COM4-DF","6081605000","COM","COM4","S1M","MC",NaN
"210",37.581460,-122.389797,360,895.56,"S3-m-COM4-DF","6081605000","COM","COM4","S3","MC",NaN
"211",37.581460,-122.389797,360,895.56,"S4L-h-COM4-DF","6081605000","COM","COM4","S4L","VC",NaN
"212",37.581460,-122.389797,360,1791.12,"S4M-m-COM4-DF","6081605000","COM","COM4","S4M","MC",NaN
"213",37.581460,-122.389797,360,2686.68,"URML-p-COM4-DF","6081605000","COM","COM4","URML","PC",NaN
"214",37.581460,-122.389797,360,859.74,"W1-h-COM4-DF","6081605000","COM","COM4","W1","HC",NaN
"215",37.581460,-122.389797,360,9027.25,"W1-m-COM4-DF","6081605000","COM","COM4","W1","MC",NaN
"216",37.581460,-122.389797,360,859.74,"W1-h-COM4-DF","6081605000","COM","COM4","W1","VC",NaN
"217",37.581460,-122.389797,360,3582.24,"W2-m-COM4-DF","6081605000","COM","COM4","W2","MC",NaN
"218",37.581460,-122.389797,360,1851.47,"C2M-m-COM5-DF","6081605000","COM","COM5","C2M","MC",NaN
"219",37.581460,-122.389797,360,1851.47,"RM1L-m-COM5-DF","6081605000","COM","COM5","RM1L","MC",NaN
"220",37.581460,-122.389797,360,1851.47,"S1M-m-COM5-DF","6081605000","COM","COM5","S1M","MC",NaN
"221",37.581460,-122.389797,360,5336.59,"W1-m-COM5-DF","6081605000","COM","COM5","W1","MC",NaN
"222",37.581460,-122.389797,360,64428.38,"C2L-m-COM6-DF","6081605000","COM","COM6","C2L","MS",NaN
"223",37.581460,-122.389797,360,64428.38,"C2M-m-COM6-DF","6081605000","COM","COM6","C2M","MS",NaN
"224",37.581460,-122.389797,360,130809.10,"RM1L-m-COM6-DF","6081605000","COM","COM6","RM1L","MS",NaN
"225",37.581460,-122.389797,360,64428.38,"RM2L-m-COM6-DF","6081605000","COM","COM6","RM2L","MS",NaN
"226",37.581460,-122.389797,360,66380.75,"W2-m-COM6-DF","6081605000","COM","COM6","W2","MS",NaN
"227",37.581460,-122.389797,360,3961.56,"C1M-m-COM7-DF","6081605000","COM","COM7","C1M","MC",NaN
"228",37.581460,-122.389797,360,7626.00,"RM1L-m-COM7-DF","6081605000","COM","COM7","RM1L","MC",NaN
"229",37.581460,-122.389797,360,3928.55,"RM1M-m-COM7-DF","6081605000","COM","COM7","RM1M","MC",NaN
"230",37.581460,-122.389797,360,11554.55,"RM2M-m-COM7-DF","6081605000","COM","COM7","RM2M","MC",NaN
"231",37.581460,-122.389797,360,4040.79,"S2L-m-COM7-DF","6081605000","COM","COM7","S2L","MC",NaN
"232",37.581460,-122.389797,360,3921.94,"S3-p-COM7-DF","6081605000","COM","COM7","S3","PC",NaN
"233",37.581460,-122.389797,360,3921.94,"S4M-m-COM7-DF","6081605000","COM","COM7","S4M","MC",NaN
